# mjd,flux,flux err
55624.9367708,0.2656948,0.0119736
55629.9199190,0.2937484,0.0055903
55635.9035185,0.2546609,0.0278482
55657.7522106,0.2521114,0.0116684
55661.7505787,0.2268992,0.0064953
55663.7510764,0.2166359,0.0242755
55667.7344907,0.2082419,0.0053397
55671.7098727,0.2061605,0.0147327
55675.7069560,0.2089863,0.0125036
55678.7011458,0.2077905,0.0050389
55679.6959491,0.2066907,0.0160206
55684.6727546,0.1960248,0.0188474
55688.6691782,0.1984075,0.0053720
55693.6604514,0.1755982,0.0066413
55694.6531713,0.1934196,0.0157799
55702.7826505,0.1738452,0.0205176
55712.5926736,0.1823947,0.0055245
55715.5949884,0.1838961,0.0225087
55720.5687963,0.1680330,0.0062283
55722.5632986,0.1822804,0.0225711
55723.5717708,0.1801020,0.0117878
55726.5517361,0.1938924,0.0225939
55728.5531944,0.1894260,0.0054204
55730.5533449,0.1798075,0.0088313
55734.5305671,0.1894737,0.0167071
55737.5282870,0.1865464,0.0047626
55739.5178241,0.1942320,0.0057087
55740.5249653,0.2000585,0.0091429
55743.5144444,0.1877917,0.0299631
55749.4903356,0.2454973,0.0804150
55753.4845486,0.2174129,0.0254342
55755.4763426,0.2187011,0.0057358
55757.6216088,0.2082975,0.0215489
55760.6178935,0.2325479,0.0376013
55766.5991782,0.2504995,0.0199781
55772.5746181,0.2550413,0.0338699
55779.5576389,0.2734380,0.0087863
55781.5626505,0.2771068,0.0081313
55785.5518403,0.2812487,0.0214988
55792.5278819,0.3041813,0.0067632
55795.5260880,0.3113364,0.0262998
55799.5030556,0.2932928,0.0049775
55806.3078935,0.3252671,0.0115155
55808.3036921,0.3246998,0.0081204
55809.3086806,0.3265381,0.0122195
55820.2760880,0.3386695,0.0221076
55822.2605903,0.3500751,0.0107063
55823.2558218,0.3393698,0.0071542
55834.2345949,0.3429847,0.0107406
55836.2343750,0.3242477,0.0055014
55837.2293519,0.3271262,0.0138580
55841.2099421,0.3121039,0.0145670
55843.2149537,0.3148894,0.0135097
55843.3792477,0.3100452,0.0102920
55847.3627315,0.3056049,0.0074900
55850.3494444,0.2912514,0.0069099
55855.1726157,0.3013116,0.0055596
55858.1735532,0.2915470,0.0190425
55862.1613079,0.2791404,0.0212321
55865.1492940,0.2700089,0.0051996
55871.1340972,0.2554422,0.0116362
55878.1160185,0.2401720,0.0181179
55883.0968287,0.2409021,0.0266434
55893.0757407,0.2212148,0.0197533
55895.0637731,0.2160460,0.0227187
55903.2590162,0.2060531,0.0046907
55907.0503588,0.2094159,0.0076412
55913.2065856,0.1958190,0.0046710
55918.0078125,0.1858085,0.0040562
55920.1860301,0.1825930,0.0044136
55927.9871991,0.1690024,0.0122284
55930.1776620,0.1696307,0.0051040
55931.1662963,0.1669450,0.0051535
55935.9459722,0.1652032,0.0052885
55938.9842940,0.1570568,0.0186130
55944.9215972,0.1486834,0.0069524
55945.9640046,0.1534001,0.0057983
55952.9505093,0.1371770,0.0054077
55974.8833796,0.1163809,0.0076713
55986.7729745,0.1109990,0.0035398
55994.7512384,0.1158476,0.0123368
56000.7535532,0.0877581,0.0065871
56029.6676852,0.1226031,0.0235313
56056.6222106,0.1621858,0.0173256
56094.7269329,0.2415633,0.0176126
56101.4642245,0.2682446,0.0051850
56107.5093634,0.2658833,0.0084532
56110.6687037,0.2798269,0.0057993
56114.4668750,0.2816986,0.0083731
56119.5997222,0.2833276,0.0114988
56125.4603009,0.2902199,0.0107510
56126.5976273,0.2857184,0.0118004
56130.4010185,0.3054793,0.0220125
56133.4218634,0.2987804,0.0189357
56137.4119213,0.2997637,0.0058328
56139.5434375,0.3001749,0.0052244
56149.3577083,0.3081393,0.0064018
56152.5293519,0.3042246,0.0051814
56164.3332060,0.3329804,0.0079669
56168.2674421,0.3367300,0.0145823
56171.3095023,0.3671928,0.0116615
56174.4666898,0.3589176,0.0136583
56175.4455208,0.3638103,0.0080282
56176.4185069,0.3708624,0.0329421
56182.4007060,0.3927657,0.0063520
56184.4643403,0.4048889,0.0068556
56186.4265046,0.4089524,0.0146268
56194.2269213,0.4359240,0.0122882
56198.4400347,0.4676197,0.0208092
56202.2453935,0.4639321,0.0352586
56210.3686111,0.5228304,0.0229618
56215.3806134,0.5439212,0.0102086
56224.3707292,0.5892995,0.0168480
56228.1070370,0.5992913,0.0092460
56230.1650694,0.5951122,0.0330025
56234.1219907,0.6112086,0.0127977
56235.2957060,0.5996347,0.0090297
56239.1180440,0.6338982,0.0232037
56242.0572106,0.6373617,0.0103507
56242.3007870,0.6288537,0.0166059
56251.1000116,0.6640213,0.0156603
56257.2707986,0.6616577,0.0098876
56265.2212731,0.6693262,0.0541598
56268.2555324,0.6722556,0.0103880
56277.1748843,0.7053881,0.0105386
56283.0213310,0.7617133,0.0146439
56294.1488657,0.7875704,0.0325715
56296.1088773,0.8230974,0.0171318
56313.0898495,0.8755217,0.0150367
56315.0747454,0.8577013,0.0940341
56326.0679514,0.8963199,0.0428723
56338.8731366,0.9007526,0.0184076
56345.9909375,0.8771420,0.0282832
56348.9961343,0.8551830,0.0139029
56362.9804514,0.8734762,0.0140667
56365.7911458,0.8585557,0.0232036
56367.9370718,0.9451813,0.0234434
56388.6859722,0.8006265,0.0147996
56394.6526968,0.7247157,0.0162306
56409.8465972,0.7162580,0.0176415
56410.8222454,0.6964204,0.0350308
56423.7589120,0.6400371,0.0182818
56426.6054398,0.6429744,0.0361449
56434.5995833,0.5982187,0.0125440
56437.5765394,0.6016283,0.0135893
56439.7263310,0.5901743,0.0085709
56447.5719097,0.5769713,0.0092214
56454.5300347,0.5350639,0.0301285
56456.7502199,0.5269634,0.0082761
56458.7341898,0.5239880,0.0330588
56461.5147801,0.5050879,0.0118298
56464.4956250,0.4488213,0.0101026
56470.4980324,0.4622219,0.0257912
56474.6589005,0.4670790,0.0073584
56481.6222917,0.4352581,0.0185097
56492.5969444,0.4139455,0.0086130
56494.5528819,0.4018356,0.0378777
56504.3572338,0.3810548,0.0098192
56507.5444097,0.3644660,0.0069581
56508.5642593,0.3764764,0.0475190
56515.3679861,0.3460533,0.0240548
56522.3636227,0.3220913,0.0173394
56543.3109259,0.2840231,0.0121518
56546.2398611,0.2649943,0.0496302
56548.4183102,0.2585220,0.0098881
56551.4628125,0.2605673,0.0083699
56553.4429514,0.2602582,0.0053345
56556.4309259,0.2556695,0.0114562
56558.4352315,0.2460679,0.0140588
56564.2845370,0.2446021,0.0087450
56565.4205671,0.2425140,0.0301857
56571.1848843,0.2369206,0.0062787
56573.2380556,0.2180650,0.0164428
56580.3586690,0.2198866,0.0055801
56583.3848032,0.2214940,0.0224747
56585.3068056,0.2085101,0.0044629
56596.2943171,0.1793438,0.0253707
56598.3260648,0.2100893,0.0092978
56602.3196065,0.1840660,0.0242580
56606.0938542,0.2023109,0.0069116
56606.2919792,0.1891832,0.0102374
56611.2974306,0.1975778,0.0185454
56614.2548380,0.1951175,0.0139974
56621.2770833,0.1938533,0.0070756
56624.2283796,0.1854634,0.0109278
56627.2459722,0.1898812,0.0179928
56629.2304398,0.1886630,0.0147806
56641.1746065,0.1848335,0.0080512
56651.1837616,0.2042279,0.0073621
56652.9975579,0.2108036,0.0103412
56656.1806944,0.2066300,0.0117534
56658.1526042,0.2038149,0.0092284
56671.0730556,0.2087942,0.0090377
56675.0662153,0.2238561,0.0067183
56679.0546991,0.2306983,0.0064185
56684.0329051,0.2338496,0.0140597
56692.8776852,0.2394929,0.0100681
56700.0288773,0.2423848,0.0184828
56701.8685417,0.2492240,0.0097720
56710.9794444,0.2433096,0.0265826
56713.0148843,0.2444023,0.0131204
56731.9724653,0.2136185,0.0187010
56735.7241898,0.2541463,0.0051414
56758.6678241,0.2328186,0.0170107
56762.8178356,0.2401714,0.0130660
56770.8402894,0.2073991,0.0414586
56774.8014005,0.2059992,0.0218926
56778.7747222,0.2157191,0.0112635
56787.5766898,0.2296356,0.0084206
56791.5882407,0.2120125,0.0286952
56795.6313310,0.2135410,0.0055747
56829.5017940,0.1827326,0.0347480
56834.5283912,0.1900294,0.0102977
56837.5125926,0.1795678,0.0178468
56842.4906944,0.1823965,0.0086137
56844.4836227,0.1885859,0.0262645
56852.4573727,0.2543552,0.0195538
56854.4409144,0.1841481,0.0101120
56877.3808796,0.2283194,0.0091549
56879.3701389,0.2172256,0.0150704
56884.3685417,0.2567072,0.0116951
56889.3535648,0.2684609,0.0088713
56894.3569097,0.2893911,0.0099946
56903.3185185,0.3340782,0.0134326
56906.3183912,0.3627539,0.0148886
56911.2828009,0.3787862,0.0112194
56913.2964583,0.3840571,0.0196530
56929.2409375,0.3853780,0.0695711
56941.2171296,0.5621078,0.0158245
56949.2001968,0.5975936,0.0161175
56971.1269213,0.7648832,0.0219301
56980.0923843,0.7565456,0.0206230
56985.0887847,0.7595302,0.0191984
56990.0851389,0.7070299,0.0325699
57018.9944213,0.7818438,0.0243741
57028.9823380,0.7457015,0.0209121
57033.9516435,0.7132831,0.0225604
57038.9585648,0.7001515,0.0173694
57043.9654398,0.6931830,0.0196948
57048.9281019,0.6832143,0.0180882
57051.9007755,0.6991803,0.0227725
57054.9103704,0.6358010,0.0298169
57064.8517477,0.6059575,0.0199998
57084.8077546,0.5088180,0.0320069
57085.8302662,0.5222566,0.0149869
57087.8091782,0.5170775,0.0151074
57090.8030671,0.4831475,0.0135146
57092.7888079,0.5123810,0.0177432
57115.7385185,0.4529308,0.0119413
57121.7065509,0.4392109,0.0163089
57123.7074653,0.4338801,0.0098861
57146.6261343,0.3974503,0.0405816
57200.4910764,0.2631440,0.0050733
57226.3978009,0.3828877,0.0096998
57227.3890046,0.2125006,0.0062993
57253.5259606,0.2086767,0.0082890
57256.5017245,0.1742165,0.0163925
57263.4862384,0.1505415,0.0146990
57264.3625926,0.1785075,0.0258763
57272.3563426,0.1647886,0.0195119
57286.2941667,0.1726730,0.0162006
57295.2343403,0.1536878,0.0132347
57304.3817824,0.1239024,0.0253922
57320.1785069,0.1190518,0.0068481
57366.0399769,0.0912115,0.0018812
57383.1099306,0.0807316,0.0017897
57415.0292361,0.0790814,0.0017448
57430.9834838,0.0826905,0.0022096
57438.7944907,0.0843992,0.0023522
57442.8717245,0.0868074,0.0037792
57444.8295139,0.0874328,0.0020890
57451.8287731,0.1004118,0.0042606
57462.7745139,0.0876202,0.0024192
57464.9284028,0.0724023,0.0027513
57512.6300694,0.1038081,0.0021000
57516.5845139,0.0958464,0.0034713
57520.6136574,0.1033261,0.0025485
57522.5929051,0.1081822,0.0026217
57530.5848611,0.1248205,0.0046596
57541.7219560,0.1045824,0.0028943
57552.6677199,0.1073667,0.0037285
57555.6850810,0.1079227,0.0029996
57561.5050694,0.1180724,0.0025892
57572.4793056,0.1152415,0.0023107
57587.3974537,0.1261337,0.0021708
57589.3733218,0.1270474,0.0031155
57595.4427778,0.1235881,0.0026496
57598.4163426,0.1265929,0.0040217
57602.3626042,0.1302833,0.0024231
57608.3636111,0.1260022,0.0031055
57612.3404745,0.1268926,0.0027407
57614.3532986,0.1308184,0.0031923
57616.5317245,0.1284576,0.0030798
57621.3204861,0.1262129,0.0034326
57623.3048958,0.0775578,0.0284633
57626.3182060,0.1345939,0.0022589
57630.4719676,0.1215310,0.0022046
57638.2943171,0.1385680,0.0031713
57641.2843519,0.1378590,0.0036856
57651.3756944,0.1336456,0.0028525
57661.2489005,0.1363130,0.0028174
57670.3613079,0.1381388,0.0023363
57679.3367824,0.1453986,0.0028717
57683.3256597,0.1485153,0.0028545
57704.1043634,0.1772943,0.0041208
57706.1257407,0.1636000,0.0025031
57706.2457176,0.1600627,0.0032643
57717.0811227,0.1737566,0.0035680
57727.1786690,0.1878780,0.0033849
57733.1550231,0.1830222,0.0167841
57737.0271065,0.1959334,0.0029252
57741.1627778,0.1915366,0.0036351
57745.0021412,0.2026392,0.0031647
57748.0188889,0.2048853,0.0030360
57766.0681829,0.2204775,0.0032696
57771.1020139,0.2157192,0.0034794
57785.8655671,0.2262839,0.0033201
57808.9565741,0.2548341,0.0067086
57812.9791551,0.2579304,0.0037137
57857.8423264,0.2898552,0.0040754
57873.6198843,0.3158766,0.0048211
57877.6536458,0.3146977,0.0040843
57879.6185532,0.3223671,0.0044623
57882.6336690,0.3172699,0.0047957
57895.5478819,0.3379207,0.0050323
57901.5855324,0.3484828,0.0052451
57904.5557870,0.3452777,0.0050924
57905.6883218,0.3241416,0.0050103
57913.4849306,0.3523449,0.0054396
57942.4159838,0.3593862,0.0046712
57951.4357407,0.3554498,0.0046435
57953.6099537,0.3610203,0.0048463
57957.5498727,0.3730571,0.0049131
57961.4293634,0.3574400,0.0051922
57980.5162153,0.3577293,0.0062207
57983.5093171,0.3517665,0.0054952
58001.4638773,0.3529605,0.0050024
58004.3278009,0.3579745,0.0052172
58025.3534722,0.3388320,0.0049155
58040.3484491,0.3205483,0.0043719
58046.1549421,0.3380172,0.0049684
58052.3286921,0.3034951,0.0042457
58060.3112153,0.3098049,0.0049294
58068.2436458,0.3074138,0.0041888
58077.1468403,0.2893019,0.0070074
58079.1424074,0.2966287,0.0114510
58079.2604861,0.2898106,0.0040354
58088.2293634,0.2841036,0.0066082
58099.0477315,0.2874132,0.0040715
58111.0231366,0.2743976,0.0045553
58121.1228009,0.2695303,0.0046276
58131.9627662,0.2616660,0.0039335
58134.9367593,0.2513255,0.0035533
58141.9271528,0.2484207,0.0045460
58148.8724653,0.2420606,0.0035699
58156.8824074,0.2320168,0.0038921
58163.8769676,0.2406827,0.0055957
58166.0166898,0.2278516,0.0041300
58169.8511806,0.2238995,0.0033369
58242.6667708,0.2027453,0.0030598
58247.6004282,0.1951718,0.0033927
58249.7761227,0.1888789,0.0029787
58253.6225810,0.1986587,0.0036034
58258.6070949,0.1958851,0.0052608
58261.5295023,0.2198610,0.0174278
58269.5672917,0.1954080,0.0038747
58281.5166667,0.2026188,0.0033108
58282.5102315,0.1965605,0.0035476
58284.6949190,0.1007087,0.0778853
58291.6878588,0.1934043,0.0043544
58306.4648958,0.2035270,0.0031179
58308.6484954,0.1980521,0.0033569
58320.3729861,0.2015998,0.0035567
